State,Year,Income,Unemployment,Population_Density,AgeAdj_Rate,z_Income,z_Unemployment,z_Population_Density,z_AgeAdj_Rate
North Carolina,2009.0,58990,10.6,63.916081763313535,11.6,-1.1434960614718843,2.4703332251924652,-0.15671575646107233,-0.013178175833164456
North Carolina,2010.0,60860,10.9,75.71710915958744,11.6,-0.9897177012772878,2.6187194778105884,-0.13392893826733304,-0.013178175833164456
North Carolina,2011.0,60880,10.3,75.71710915958744,11.8,-0.9880730129329606,2.321946972574343,-0.13392893826733304,0.029917477044146257
North Carolina,2012.0,54900,9.3,75.71710915958744,11.7,-1.4798348278868036,1.8273261305139332,-0.13392893826733304,0.008369650605490709
North Carolina,2013.0,60490,8.0,75.71710915958744,12.1,-1.0201444356473417,1.1843190358354005,-0.13392893826733304,0.09456095636011175
North Carolina,2014.0,60210,6.3,75.71710915958744,11.7,-1.043170072467923,0.34346360433270423,-0.13392893826733304,0.008369650605490709
North Carolina,2015.0,65430,5.7,75.71710915958744,12.4,-0.6139064145985147,0.04669109909645866,-0.13392893826733304,0.15920443567607762
North Carolina,2016.0,68640,5.1,75.71710915958744,13.4,-0.34993393533399364,-0.25008140613978735,-0.13392893826733304,0.37468270006263005
North Carolina,2017.0,62170,4.5,75.71710915958744,13.6,-0.881990614723854,-0.5468539113760329,-0.13392893826733304,0.41777835293994037
North Carolina,2018.0,65640,3.9,75.71710915958744,13.1,-0.5966371869830788,-0.8436264166122787,-0.13392893826733304,0.3100392207466642
North Carolina,2019.0,74120,3.9,75.71710915958744,12.9,0.10071067101166861,-0.8436264166122787,-0.13392893826733304,0.26694356786935386
North Carolina,2020.0,72480,7.2,82.89462429488755,15.7,-0.0341537732231646,0.7886223621870729,-0.12006974389561789,0.8702827081517004
North Dakota,2000.0,61550,3.0,3.593842333192171,6.6,-0.9329759533979982,-1.2887851744666472,-0.27319306447642305,-1.0905694977659266
North Dakota,2001.0,59850,2.9,3.593842333192171,7.6,-1.0727744626658131,-1.3382472586726881,-0.27319306447642305,-0.8750912333793741
North Dakota,2002.0,59780,3.7,3.593842333192171,9.1,-1.0785308718709585,-0.9425505850243604,-0.27319306447642305,-0.5518738367995455
North Dakota,2003.0,65380,3.7,3.593842333192171,8.5,-0.6180181354593328,-0.9425505850243604,-0.27319306447642305,-0.6811607954314769
North Dakota,2004.0,61900,3.4,3.593842333192171,7.6,-0.9041939073722716,-1.0909368376424835,-0.27319306447642305,-0.8750912333793741
North Dakota,2005.0,64720,3.4,3.593842333192171,8.8,-0.6722928508221315,-1.0909368376424835,-0.27319306447642305,-0.616517316115511
North Dakota,2006.0,61180,3.2,3.593842333192171,6.5,-0.963402687768052,-1.1898610060545651,-0.27319306447642305,-1.1121173242045816
North Dakota,2007.0,68600,3.1,3.593842333192171,8.4,-0.35322331202264806,-1.2393230902606063,-0.27319306447642305,-0.702708621870132
